Case,Stable,Overshoot_percent,PeakTime_s,SettlingTime_s,DecayRatio,FinalValue,SteadyStateError,MaxOvershootValue
"P: Kc=0.1",1,5.50984277768869,1.55,2.23814244645871,NaN,0.076923076923077,0.923076923076923,-0.918838582478701
"P: Kc=1",1,11.4106205063239,1.01,1.63172558646932,NaN,0.454545454545455,0.545454545454545,-0.493588088607618
"P: Kc=2",1,15.9713667769578,0.76,1.27557983357615,NaN,0.625,0.375,-0.275178957644014
"P: Kc=5",1,24.8433763495237,0.48,1.21705853412859,6.3721806186743,0.806451612903226,0.193548387096774,0.00680142217357815
"P: Kc=8",1,30.7332938588395,0.38,0.960243487442794,4.93943468666594,0.869565217391304,0.130434782608696,0.13681125094643
"PI: Kc=5, Ti=1",1,17.3308320787054,0.5,2.3823019326981,1.45920290234768,1,0,0.173308320787054
"PI: Kc=5, Ti=2",1,9.22764279155375,0.5,5.12259742435664,0.604498282177919,1,0,0.0922764279155375
"PI: Kc=5, Ti=4",1,5.003769043081,0.49,10.7490425081412,0.272752782940583,1,0,0.05003769043081
"PI: Kc=5, Ti=6",1,3.57363421684327,0.49,16.3780248835166,0.182293778250168,1,0,0.0357363421684327
"PID: Kc=5, Ti=1, Td=0.1",1,0,30,2.29361073784315,NaN,1,0,-1.06914477271403e-13
"PID: Kc=5, Ti=1, Td=0.5",1,0.170063925130082,4.37,2.38565249749861,NaN,1,0,0.00170063925130082
"PID: Kc=5, Ti=1, Td=2",1,2.22323125399142,6.36,7.06398960227142,4.3314916152243,1,0,0.0222323125399142
"PID: Kc=5, Ti=1, Td=4",1,2.89083564963208,8.89,10.6770615350093,2.72551095799705,1,0,0.0289083564963208
