Controller,Kc,Ti,Td,OvershootValue,PeakTime_s,SettlingTime_s,DecayRatio,SteadyStateError,Score,MeetsAll
PID,1,0.5,1.5,0.046389789577771,4.38,5.78652324111885,6.91270107241526,0,0,1
PID,1,0.5,1.55,0.0475325697943145,4.43,5.87265793010491,6.68100483618468,0,0,1
PID,1,0.5,1.6,0.0486340221288672,4.48,5.95680018659544,6.47195343611918,0,0,1
PID,1,0.5,1.65,0.0496963691011691,4.53,6.03910374214293,6.28149053137517,0,0,1
PID,1,0.5,1.7,0.05072164410698,4.58,6.11970789538421,6.10687455435647,0,0,1
PID,1.75,0.75,1.2,0.0258079271922602,4.8,5.62433201175434,9.47483052004711,0,0,1
PID,1.75,0.75,1.25,0.0270573727218093,4.87,5.78061837747457,8.94500972678321,0,0,1
PID,1.75,0.75,1.3,0.0282558950509348,4.93,5.9267349748976,8.48573033142523,0,0,1
PID,2,0.75,1.15,0.0252315137732264,4.61,5.3697194405009,8.85436346041396,0,0,1
PID,2,0.75,1.2,0.0264444414142726,4.68,5.52908678452791,8.34680805801121,0,0,1
PID,2,0.75,1.25,0.0276030981411921,4.75,5.67767722532556,7.9124249731041,0,0,1
PID,2,0.75,1.3,0.0287105992922547,4.81,5.81788694003226,7.53406925340837,0,0,1
PID,2,0.75,1.35,0.029770579442892,4.88,5.95129706014319,7.20053885588961,0,0,1
PID,2,0.75,1.4,0.0307850069513258,4.95,6.07902448555615,6.90402329545882,0,0,1
PID,2.25,0.75,1.15,0.0253537482649366,4.52,5.27467895601861,8.03205559752529,0,0,1
PID,2.25,0.75,1.2,0.0264826451620643,4.59,5.429301916295,7.59554666781731,0,0,1
PID,2.25,0.75,1.25,0.0275581190659056,4.66,5.57428228484934,7.22063016244755,0,0,1
PID,2.25,0.75,1.3,0.0285835002304176,4.73,5.71164792513265,6.89294294422082,0,0,1
PID,2.25,0.75,1.35,0.0295618614845203,4.8,5.84275395527718,6.6033747548465,0,0,1
PID,2.25,0.75,1.4,0.0304960572409962,4.86,5.96858432426139,6.34523328163984,0,0,1
PID,2.25,0.75,1.45,0.0313891817008707,4.93,6.08987219541525,6.11327700122367,0,0,1
PID,2.5,0.75,1.15,0.0251153240472661,4.45,5.1783823394649,7.4492921117344,0,0,1
PID,2.5,0.75,1.2,0.0261684503482753,4.52,5.33098359990443,7.06050998525781,0,0,1
PID,2.5,0.75,1.25,0.0271693369025254,4.59,5.47437196668002,6.72586908868465,0,0,1
PID,2.5,0.75,1.3,0.0281214760525679,4.66,5.61045113816547,6.43277514620053,0,0,1
PID,2.5,0.75,1.35,0.0290280705411976,4.73,5.74049646336125,6.17318392061411,0,0,1
PID,2.75,0.75,1.15,0.0246647600825076,4.39,5.08308635219384,7.01521904825838,0,0,1
PID,2.75,0.75,1.2,0.0256498001315097,4.46,5.23532482505017,6.6606762198995,0,0,1
PID,2.75,0.75,1.25,0.0265840152747538,4.53,5.37835977747398,6.35498729984385,0,0,1
PID,2.75,0.75,1.3,0.0274712448235439,4.61,5.51409946589774,6.08680598121653,0,0,1
PID,3,0.75,1.15,0.0240925706977309,4.34,4.98885891431586,6.67975047057107,0,0,1
PID,3,0.75,1.2,0.0250165616856572,4.41,5.14199563840878,6.35084811978015,0,0,1
PID,3,0.75,1.25,0.0258920733185271,4.49,5.28558072992097,6.06680402926755,0,0,1
PID,3.25,0.75,1.15,0.0234553762132386,4.3,4.89481244135418,6.41289136535007,0,0,1
PID,3.25,0.75,1.2,0.0243250667211674,4.38,5.05006950941783,6.10377427703271,0,0,1
PID,3.5,0.75,1.15,0.0227886572801974,4.27,4.79949837769265,6.19568225499258,0,0,1
PID,3.75,0.75,1.15,0.0221151963717896,4.24,4.70062927807755,6.01543024631015,0,0,1
PID,1.75,0.75,1.35,0.0294058828736476,5,6.06484498493506,8.08290621011171,0,0,0
PID,2,0.75,1.45,0.0317565737290868,5.01,6.20189690477425,6.63848235602943,0,0.00999999999999979,0
PID,1,0.5,1.75,0.0517117086980687,4.63,6.1987335299845,5.94596541617015,0,0.0540345838298455,0
PID,2.5,0.75,1.4,0.0298920470331276,4.8,5.86543784068188,5.94122635786824,0,0.0587736421317553,0
